Industry,Keyword,Code
바이오,유한양행,000100
바이오,삼성바이오,207940
바이오,한미약품,128940
바이오,대웅제약,069620
바이오,셀트리온,068270
지수,코스피,^KS11
지수,코스닥,^KQ11
지수,NASDAQ,^IXIC
지수,S&P500,^GSPC
지수,Dow Jones,^DJI
환율,USD/KRW,USDKRW=X
환율,USD/JPY,USDJPY=X
환율,EUR/USD,EURUSD=X
환율,USD/CNY,USDCNY=X
항공운송,대한항공,003490
항공운송,아시아나항공,020560
항공운송, HMM,011200
항공운송,현대글로비스,086280
항공운송,CJ대한통운,000120
조선업,한화오션,042660
조선업,삼성중공업,010140
조선업,HMM,011200
조선업,한화에어로스페이스,012450
조선업,HD한국조선해양,009540
건설업,현대건설,000720
건설업,GS건설,006360
건설업,삼성물산,028260
건설업,대우건설,047040
건설업,코오롱글로벌,003070
식료품,cj제일제당,097950
식료품,농심,004370
식료품,오뚜기,007310
식료품,spc삼립,005610
식료품,하이트진로,000080
금속제조업,포스코홀딩스,005490
금속제조업,고려아연,010130
금속제조업,현대제철,004020
금속제조업,풍산,103140
금속제조업,세아제강,306200
금융업,KB금융,105560
금융업,하나금융지주,086790
금융업,신한지주,055550
금융업,삼성증권,016360
금융업,우리금융지주,316140
반도체제조업,삼성전자,005930
반도체제조업,에스케이하이닉스,000660
반도체제조업,DB하이텍,000990
반도체제조업,엔비디아,NVDA
반도체제조업,한미반도체,042700
보험업,삼성화재해상보험,000810
보험업,삼성생명,032830
보험업,한화생명,088350
보험업,DB손해보험,005830
보험업,현대해상,001450
에너지,SK이노베이션,096770
에너지,한국쉘석유,002960
에너지,한국전력공사,015760
에너지,S-Oil,010950
에너지,SK가스,018670
석유정제,금호석유화학,011780
석유정제,LG화학,051910
석유정제,SK케미칼,285130
석유정제,코오롱인더,120110
석유정제,한화솔루션,009830
자동차,현대차,005380
자동차,기아,000270
자동차,한국타이어,161390
자동차,테슬라,TSLA
자동차,현대모비스,012330
전자부품,엘지디스플레이,034220
전자부품,이수페타시스,007660
전자부품,엘지전자,066570
전자부품,LG이노텍,011070
전자부품,삼성전기,009150
정보통신업,KT,030200
정보통신업, SK텔레콤,017670
정보통신업, LG유플러스,032640
정보통신업,현대오토에버,307950
정보통신업,삼성에스디에스,018260
방송업,CJ ENM,035760
방송업,스튜디오드래곤,253450
방송업,제이콘텐트리,036420
방송업,NEW,160550
방송업,SBS,034120
